run,seed,suite,task_id,episode,video_path,video_exists,source
lr_1e-4_spatial,unknown,libero_spatial,0,1,eval_results/lr_1e-4_spatial/videos/libero_spatial_0/eval_episode_1.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,0,3,eval_results/lr_1e-4_spatial/videos/libero_spatial_0/eval_episode_3.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,1,2,eval_results/lr_1e-4_spatial/videos/libero_spatial_1/eval_episode_2.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,3,4,eval_results/lr_1e-4_spatial/videos/libero_spatial_3/eval_episode_4.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,3,5,eval_results/lr_1e-4_spatial/videos/libero_spatial_3/eval_episode_5.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,4,5,eval_results/lr_1e-4_spatial/videos/libero_spatial_4/eval_episode_5.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,4,9,eval_results/lr_1e-4_spatial/videos/libero_spatial_4/eval_episode_9.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,5,1,eval_results/lr_1e-4_spatial/videos/libero_spatial_5/eval_episode_1.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,5,2,eval_results/lr_1e-4_spatial/videos/libero_spatial_5/eval_episode_2.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,5,3,eval_results/lr_1e-4_spatial/videos/libero_spatial_5/eval_episode_3.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,5,4,eval_results/lr_1e-4_spatial/videos/libero_spatial_5/eval_episode_4.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,6,4,eval_results/lr_1e-4_spatial/videos/libero_spatial_6/eval_episode_4.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,6,8,eval_results/lr_1e-4_spatial/videos/libero_spatial_6/eval_episode_8.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,7,1,eval_results/lr_1e-4_spatial/videos/libero_spatial_7/eval_episode_1.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,7,3,eval_results/lr_1e-4_spatial/videos/libero_spatial_7/eval_episode_3.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
lr_1e-4_spatial,unknown,libero_spatial,7,6,eval_results/lr_1e-4_spatial/videos/libero_spatial_7/eval_episode_6.mp4,True,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/lr_1e-4_spatial/eval_info.json
